OBJECT TEFF E_TEFF LOGG E_LOGG FEH E_FEH LI1 E_LI1 "AGE (Gyr)" GES_FLD MEM3D
16585401-5243387 5552 63 4.43 0.17 0.25 0.05 1.54 0.15 3.246 NGC6253 0.9977
16585617-5239492 5196 70 4.65 0.21 0.16 0.05 1.33 0.14 3.246 NGC6253 0.9999
16585622-5241584 5721 64 4.47 0.17 0.34 0.05 1.84 0.0 3.246 NGC6253 0.9998
16585625-5245036 5411 63 4.39 0.18 0.28 0.05 1.34 0.0 3.246 NGC6253 0.9999
16585651-5240280 5468 64 4.55 0.18 0.2 0.05 1.39 0.17 3.246 NGC6253 0.9997
16585702-5242295 5545 64 4.35 0.18 0.29 0.05 1.71 0.0 3.246 NGC6253 0.9998
16585721-5238374 5669 65 4.39 0.17 0.34 0.05 1.49 0.17 3.246 NGC6253 0.9999
16585858-5241286 5814 66 4.31 0.17 0.32 0.05 1.32 0.31 3.246 NGC6253 0.9999
16590085-5242490 5378 66 4.38 0.17 0.32 0.05 1.58 0.0 3.246 NGC6253 0.9999
16590156-5239391 5625 64 4.43 0.17 0.32 0.06 1.3 0.23 3.246 NGC6253 0.9999
16590223-5242311 5276 64 4.52 0.17 0.26 0.06 1.15 0.19 3.246 NGC6253 0.9998
16590270-5239498 5464 66 4.67 0.17 0.33 0.05 1.21 0.26 3.246 NGC6253 1
16590334-5243499 5753 64 4.27 0.17 0.32 0.05 1.72 0.0 3.246 NGC6253 0.9999
16590358-5237524 5711 66 4.46 0.17 0.3 0.05 1.18 0.44 3.246 NGC6253 0.9999
16590793-5238146 5229 64 4.35 0.18 0.23 0.05 1.04 0.25 3.246 NGC6253 0.9901
16590820-5244035 5393 66 4.46 0.17 0.28 0.05 1.45 0.14 3.246 NGC6253 0.9999
16590835-5246171 5684 65 4.4 0.14 0.37 0.06 1.43 0.19 3.246 NGC6253 1
16590938-5244165 5621 70 4.41 0.21 0.18 0.05 1.67 0.12 3.246 NGC6253 0.9957
16590939-5243291 5412 67 4.55 0.17 0.22 0.05 1.13 0.25 3.246 NGC6253 0.9999
16590989-5245420 5368 64 4.63 0.17 0.31 0.05 1.1 0.25 3.246 NGC6253 0.9997
16591053-5239209 5856 65 4.68 0.17 0.32 0.06 1.86 0.0 3.246 NGC6253 0.9998
16591174-5238065 5593 64 4.25 0.18 0.32 0.05 1.61 0.12 3.246 NGC6253 0.9999
16591192-5246292 5655 64 4.45 0.18 0.3 0.05 1.73 0.0 3.246 NGC6253 0.9999
16591252-5240576 5538 66 4.3 0.17 0.24 0.06 1.09 0.33 3.246 NGC6253 0.9998
16591312-5241508 5480 63 4.61 0.18 0.3 0.05 1.54 0.0 3.246 NGC6253 0.9991
16591321-5241216 5295 64 3.76 0.17 0.35 0.05 0.27 0.82 3.246 NGC6253 0.9992
16591940-5239071 5492 66 4.51 0.17 0.35 0.05 1.61 0.11 3.246 NGC6253 0.9999
16591958-5241154 5287 65 4.57 0.17 0.27 0.05 1.49 0.0 3.246 NGC6253 0.9997
16592370-5245184 5304 65 4.51 0.18 0.29 0.05 1.1 0.21 3.246 NGC6253 1
16592506-5243115 5435 65 4.21 0.17 0.23 0.06 1.41 0.25 3.246 NGC6253 0.9992
16585109-5240459 4989 67 3.15 0.17 0.29 0.05 0.47 0.27 3.246 NGC6253 0.9981
16585229-5241405 6136 64 4.32 0.17 0.3 0.05 1.54 0.21 3.246 NGC6253 0.9999
16585568-5238402 5889 66 4.46 0.17 0.33 0.06 1.35 0.4 3.246 NGC6253 0.9999
16585692-5245055 4824 65 3.39 0.14 0.27 0.07 -0.58 0.57 3.246 NGC6253 0.9999
16585726-5241458 4866 64 3.51 0.14 0.3 0.07 0.73 0.12 3.246 NGC6253 0.9999
16585790-5244214 5285 64 3.65 0.18 0.35 0.05 1.59 0.0 3.246 NGC6253 1
16590073-5240075 4807 63 3.37 0.14 0.28 0.07 0.68 0.1 3.246 NGC6253 0.9999
16590162-5237547 5931 63 4.36 0.18 0.32 0.05 1.91 0.0 3.246 NGC6253 0.9981
16590198-5242432 5167 66 3.72 0.14 0.29 0.07 1.41 0.0 3.246 NGC6253 0.9909
16590255-5244200 6000 500 4.44 0.2 0.35 0.2 1.65 0.0 3.246 NGC6253 0.9993
16590361-5243496 5260 62 3.65 0.17 0.27 0.05 0.79 0.25 3.246 NGC6253 0.9999
16590420-5243026 5852 64 3.77 0.14 0.4 0.06 1.92 0.0 3.246 NGC6253 0.9999
16590452-5245086 5911 64 3.77 0.14 0.32 0.07 1.51 0.17 3.246 NGC6253 0.9999
16590689-5242252 6101 64 4.32 0.17 0.08 0.05 1.88 0.1 3.246 NGC6253 0.9996
16590692-5237295 5959 64 4.38 0.17 0.33 0.05 2.42 0.07 3.246 NGC6253 0.9999
16590705-5242451 5998 63 4.41 0.18 0.34 0.05 2.55 0.06 3.246 NGC6253 0.9999
16590726-5246053 5928 65 4.3 0.17 0.31 0.05 2.03 0.09 3.246 NGC6253 0.9999
16590879-5240105 5550 64 3.67 0.15 0.32 0.07 1.72 0.0 3.246 NGC6253 0.9997
16590960-5243388 5900 64 4.35 0.17 0.32 0.05 2.03 0.08 3.246 NGC6253 0.9999
16591368-5242500 5048 64 3.14 0.18 0.25 0.05 0.43 0.35 3.246 NGC6253 0.9989
16591899-5243216 5602 64 3.88 0.17 0.34 0.05 1.64 0.0 3.246 NGC6253 0.9977
16591926-5244569 5203 64 3.68 0.15 0.35 0.07 1.44 0.0 3.246 NGC6253 0.9999
16591998-5238293 4812 65 2.77 0.17 0.37 0.05 1.25 0.0 3.246 NGC6253 0.9999
16592489-5241493 5762 62 3.72 0.14 0.38 0.06 1.77 0.0 3.246 NGC6253 0.9999
16584993-5242583 4558 31 2.69 0.05 0.31 0.05 -0.17 0.0 3.246 NGC6253 0.9999
16585587-5242213 4284 31 2.08 0.05 0.09 0.05 -0.76 0.11 3.246 NGC6253 0.9997
16593786-5238252 4548 30 2.68 0.05 0.22 0.05 -0.14 0.08 3.246 NGC6253 0.9999
16583745-5242481 4528 31 2.52 0.05 0.23 0.05 -0.02 0.08 3.246 NGC6253 0.9999
16584156-5243311 4493 31 2.43 0.05 0.26 0.05 -0.33 0.0 3.246 NGC6253 0.9999
16591660-5242423 4494 31 2.66 0.05 0.23 0.05 -0.27 0.0 3.246 NGC6253 1
16593278-5244054 4523 31 2.55 0.05 0.29 0.05 -0.24 0.13 3.246 NGC6253 0.9999
17000634-4441493 8000 750 1.21 1.2 -0.3 0.2 3.54 0.0 0.269 NGC6259 0.9979
17001161-4438477 4624 64 2.27 0.17 0.04 0.05 1.31 0.1 0.269 NGC6259 0.9988
17002705-4443092 4518 64 2.08 0.17 0.07 0.05 1.35 0.1 0.269 NGC6259 0.9981
17003494-4446090 4265 66 1.63 0.17 0.1 0.05 0.59 0.1 0.269 NGC6259 0.9989
17002992-4441428 4484 40 1.89 0.07 0.09 0.05 1.11 0.07 0.269 NGC6259 0.9982
17003606-4437251 4593 31 2.03 0.05 0.16 0.05 1.34 0.05 0.269 NGC6259 0.9989
17004644-4440415 4495 31 2.04 0.05 0.21 0.05 1.02 0.05 0.269 NGC6259 0.9992
17004667-4438225 4636 30 2.16 0.05 0.15 0.05 1.43 0.05 0.269 NGC6259 0.9992
17005145-4441297 4677 31 2.41 0.05 0.17 0.05 1.25 0.05 0.269 NGC6259 0.9971
17011371-4437075 4478 31 2.25 0.05 0.24 0.05 1.15 0.05 0.269 NGC6259 0.9965
17002437-4442244 6395 62 4.25 0.18 0.2 0.06 2.9 0.08 0.269 NGC6259 0.9938
17002924-4440455 5729 68 4.29 0.17 0.02 0.06 2.71 0.11 0.269 NGC6259 0.9927
17003277-4436211 6421 66 4.4 0.17 0.36 0.05 3.17 0.11 0.269 NGC6259 0.9986
17003526-4439043 6982 72 3.67 0.21 -0.06 0.05 3.06 0.08 0.269 NGC6259 0.9985
17005568-4440186 6872 72 4.23 0.21 0.13 0.05 2.88 0.11 0.269 NGC6259 0.9986
17010923-4438430 6837 66 4.51 0.17 0.16 0.05 3.3 0.08 0.269 NGC6259 0.9987
17011373-4446027 6000 64 4.08 0.17 0.29 0.05 3.32 0.13 0.269 NGC6259 0.9979
17002424-4441472 4651 30 2.31 0.05 0.21 0.05 0.31 0.07 0.269 NGC6259 0.998
17002825-4438536 4614 31 2.17 0.05 0.25 0.05 1.43 0.05 0.269 NGC6259 0.9986
17002841-4437203 4651 30 2.33 0.05 0.1 0.05 0.53 0.06 0.269 NGC6259 0.9946
17003856-4441332 4521 31 2.18 0.05 0.16 0.05 1.11 0.04 0.269 NGC6259 0.9993
17005389-4443372 4619 31 2.36 0.05 0.09 0.05 1.17 0.05 0.269 NGC6259 0.9992
17005833-4440542 4703 30 2.46 0.05 0.26 0.05 1.47 0.05 0.269 NGC6259 0.9992
17002769-4444161 6399 64 4.24 0.18 0.25 0.05 2.63 0.14 0.269 NGC6259 0.999
17003927-4444213 6817 65 4.29 0.17 0.22 0.05 2.81 0.13 0.269 NGC6259 0.9961
17011428-4436415 6525 79 4.09 0.17 0.12 0.1 2.77 0.17 0.269 NGC6259 0.9953
17002583-4438277 5827 66 4.3 0.18 0.29 0.05 2.98 0.07 0.269 NGC6259 0.9988
17002837-4439088 6362 66 4.17 0.17 0.17 0.05 3.23 0.08 0.269 NGC6259 0.9988
17003453-4436325 6493 75 4.04 0.18 0.03 0.1 3.24 0.07 0.269 NGC6259 0.9992
17004380-4437147 6405 63 4.24 0.17 0.25 0.05 3.49 0.06 0.269 NGC6259 0.9979
17005572-4439228 6110 64 4.26 0.18 0.18 0.05 3.09 0.07 0.269 NGC6259 0.9911
17005929-4433403 6774 78 4.15 0.18 0.02 0.1 2.29 0.0 0.269 NGC6259 0.9972
17011909-4440365 6336 66 4.17 0.17 0.21 0.05 2.96 0.1 0.269 NGC6259 0.9932
17040994-3808238 4097 75 4.73 0.19 0.02 0.1 0.31 0.17 0.513 NGC6281 0.9999
17041235-3805412 4754 64 4.85 0.17 0.21 0.05 0.25 0.25 0.513 NGC6281 0.9999
17041683-3756050 4899 63 4.83 0.17 0.27 0.05 1.23 0.08 0.513 NGC6281 0.9997
17042797-3753089 4537 63 4.48 0.17 0.11 0.05 1 0.09 0.513 NGC6281 0.9962
17043838-3756066 5312 65 4.44 0.17 0.12 0.05 2.23 0.07 0.513 NGC6281 0.9812
17044160-3811534 5085 65 4.59 0.17 0.22 0.06 1.98 0.08 0.513 NGC6281 0.9999
17044882-3800303 4808 64 4.64 0.17 0.25 0.05 1.26 0.07 0.513 NGC6281 0.9998
17045319-3751232 3580 106 4.84 0.24 -0.29 0.09 -0.26 0.47 0.513 NGC6281 0.9998
17045847-3755558 4586 65 4.8 0.18 0.18 0.05 0.45 0.0 0.513 NGC6281 0.9998
17051654-3801506 3790 76 4.76 0.18 -0.18 0.09 0.31 0.2 0.513 NGC6281 0.9983
17051843-3759326 5406 66 4.5 0.18 0.19 0.05 2.17 0.08 0.513 NGC6281 0.9993
17052159-3757408 4046 78 4.68 0.18 0 0.09 -0.09 0.27 0.513 NGC6281 0.9955
17033446-3757517 4078 96 3.41 0.26 -0.5 0.15 -0.13 0.0 0.513 NGC6281 0.989
17035153-3752182 4705 65 4.61 0.17 0.22 0.06 0.17 0.62 0.513 NGC6281 0.9999
17040130-3803112 5029 65 4.59 0.17 0.3 0.05 2.07 0.08 0.513 NGC6281 0.9999
17041483-3759446 4224 74 4.87 0.19 -0.03 0.09 0.31 0.19 0.513 NGC6281 0.9998
17041914-3802102 4372 63 4.86 0.18 0.07 0.05 0.04 0.21 0.513 NGC6281 0.9996
17042323-3752368 5169 67 4.69 0.18 0.23 0.05 2.44 0.08 0.513 NGC6281 0.9997
17042978-3803350 4124 107 4.78 0.24 0.04 0.09 -0.19 0.54 0.513 NGC6281 0.9995
17044207-3751300 4013 78 4.74 0.18 -0.02 0.09 -0.03 0.34 0.513 NGC6281 0.9997
17044357-3759424 5195 64 4.58 0.18 0.03 0.05 1.77 0.09 0.513 NGC6281 0.9997
17043904-3759075 5105 65 4.55 0.18 0.05 0.05 1.49 0.08 0.513 NGC6281 0.9999
17043597-3759311 4943 31 2.43 0.05 -0.01 0.05 -0.42 0.0 0.513 NGC6281 0.9998
17044753-3753147 4900 31 2.42 0.05 -0.08 0.05 0.95 0.05 0.513 NGC6281 0.9997
17392038-3221178 5226 64 4.48 0.17 0.08 0.05 2.92 0.09 0.035 NGC6405 0.9941
17393043-3218510 5076 65 4.45 0.17 -0.07 0.05 3.06 0.09 0.035 NGC6405 0.9972
17393179-3210237 5213 64 4.27 0.17 -0.05 0.06 3.09 0.09 0.035 NGC6405 0.9982
17395360-3214178 5001 62 4.53 0.18 0.07 0.05 1.84 0.09 0.035 NGC6405 0.975
17400162-3214157 4544 65 4.4 0.17 -0.05 0.06 2.62 0.1 0.035 NGC6405 0.9889
17400163-3217469 5368 63 4.54 0.17 0.06 0.05 2.72 0.07 0.035 NGC6405 0.9983
17400370-3216356 5866 64 4.37 0.17 0.01 0.05 3.22 0.06 0.035 NGC6405 0.9868
17400463-3206516 6419 64 4.1 0.18 0.06 0.05 3.3 0.05 0.035 NGC6405 0.997
17400511-3223367 6073 65 4.23 0.18 -0.14 0.05 3.2 0.05 0.035 NGC6405 0.9967
17401815-3216285 5725 64 4.23 0.17 0.01 0.05 3.1 0.06 0.035 NGC6405 0.9861
17402187-3223284 5100 64 4.55 0.18 0.03 0.05 2.67 0.09 0.035 NGC6405 0.9892
17403107-3208304 5117 64 4.61 0.17 0.06 0.05 2.36 0.08 0.035 NGC6405 0.9945
17403400-3211107 4671 75 4.58 0.18 -0.06 0.09 1.42 0.12 0.035 NGC6405 0.9926
17403755-3219171 4594 79 4.45 0.18 -0.03 0.09 1.41 0.11 0.035 NGC6405 0.9979
17404320-3208225 5837 65 4.19 0.17 -0.02 0.05 3.32 0.06 0.035 NGC6405 0.9879
17394560-3216201 6263 66 4.06 0.17 0.01 0.05 3.29 0.05 0.035 NGC6405 0.998
17403230-3220119 4791 65 4.49 0.17 0.02 0.06 2.09 0.09 0.035 NGC6405 0.9948
17404242-3214021 6182 67 4.13 0.18 -0.04 0.06 3.38 0.06 0.035 NGC6405 0.9904
17404346-3212521 5340 66 4.4 0.17 0.06 0.05 3.01 0.08 0.035 NGC6405 0.9961
17404497-3200118 5405 63 4.47 0.17 0.06 0.05 2.97 0.08 0.035 NGC6405 0.9934
17404725-3209318 5288 67 4.35 0.17 -0.16 0.06 3.18 0.09 0.035 NGC6405 0.9949
17410728-3209064 4815 64 4.51 0.18 0.03 0.05 2.18 0.09 0.035 NGC6405 0.9965
17411683-3216214 4903 75 4.66 0.18 -0.07 0.09 2.24 0.11 0.035 NGC6405 0.9947
17412896-3216331 5221 64 4.39 0.18 0.12 0.06 2.72 0.09 0.035 NGC6405 0.9613
17392266-3221178 3491 107 4.87 0.23 -0.29 0.09 0.04 0.21 0.035 NGC6405 0.9944
17400555-3207590 4799 64 4.58 0.18 0.23 0.05 0.52 0.17 0.035 NGC6405 0.9983
17400695-3218516 5087 64 4.44 0.18 0 0.05 2.69 0.09 0.035 NGC6405 0.9944
17403265-3209472 3906 109 4.81 0.23 -0.11 0.09 0.45 0.19 0.035 NGC6405 0.9921
17404408-3204144 5089 64 4.43 0.17 0.03 0.06 2.59 0.08 0.035 NGC6405 0.9976
17404957-3219389 4397 76 4.41 0.18 0.03 0.09 0.19 0.21 0.035 NGC6405 0.9938
17400650-3211374 5319 30 4.5 0.05 0.01 0.05 2.68 0.04 0.035 NGC6405 0.9978
17400995-3212221 4908 46 4.3 0.07 0.03 0.08 2.05 0.06 0.035 NGC6405 0.9971
17392956-3216373 3301 108 4.93 0.23 -0.38 0.09 -1 0.0 0.035 NGC6405 0.9932
17393767-3204165 3308 109 4.88 0.23 -0.38 0.09 -1 0.0 0.035 NGC6405 0.9881
17394929-3221079 3495 107 4.88 0.23 -0.32 0.09 -1 0.0 0.035 NGC6405 0.9921
17405056-3217399 4413 75 4.38 0.18 0.03 0.09 1.52 0.1 0.035 NGC6405 0.9969
17405579-3211459 3306 107 4.88 0.23 -0.38 0.09 -1 0.0 0.035 NGC6405 0.9906
17395632-3212384 4584 75 4.48 0.18 0 0.09 1.58 0.11 0.035 NGC6405 0.989
17400973-3214075 3550 107 4.86 0.23 -0.27 0.09 -0.28 0.53 0.035 NGC6405 0.9972
17394931-3213362 4520 76 4.4 0.18 0 0.1 0.65 0.12 0.035 NGC6405 0.9984
17400533-3226584 6419 66 4.07 0.17 0.16 0.05 2.5 0.0 0.035 NGC6405 0.9959
17400730-3203576 3963 76 4.53 0.17 0.06 0.09 0.12 0.25 0.035 NGC6405 0.9974
17400948-3212234 5399 33 4.48 0.05 -0.07 0.04 2.83 0.04 0.035 NGC6405 0.9931
17401432-3221402 5639 34 4.3 0.05 -0.05 0.06 2.97 0.04 0.035 NGC6405 0.9934
17403642-3212521 5297 31 4.38 0.05 -0.01 0.06 2.76 0.04 0.035 NGC6405 0.9769
18043159-2422578 3879.69 72.38 3.01 0.21 0.18 0.16 3.5 0.18 0.002 NGC6530 0.9985
18043952-2427240 4119.08 103.46 2.74 0.27 0.22 0.12 4.14 0.23 0.002 NGC6530 0.9987
18044307-2424087 4069.05 100.43 3.42 0.27 -0.13 0.18 3.45 0.16 0.002 NGC6530 0.9968
18035438-2423545 3811.8 66.21 3.29 0.2 0.13 0.21 3.3 0.26 0.002 NGC6530 0.9984
18043896-2425329 4044.37 95.3 3.22 0.26 -0.06 0.17 3.68 0.16 0.002 NGC6530 0.9975
18044221-2422474 3840.1 69.47 3.07 0.19 0.07 0.18 3.9 0.24 0.002 NGC6530 0.9981
18044243-2421308 4235.03 123.98 3.36 0.33 -0.02 0.15 3.55 0.2 0.002 NGC6530 0.9961
18044445-2427254 3824.06 67.93 3.22 0.2 -0.93 0.45 3.2 0.24 0.002 NGC6530 0.9984
18051849-2418536 3870.68 71.85 3.24 0.21 0.19 0.17 3.52 0.21 0.002 NGC6530 0.9988
18050965-2419297 4231.66 137.44 3.8 0.39 0.06 0.16 3.77 0.25 0.002 NGC6530 0.9913
18045005-2426512 3981.57 86.47 3.28 0.24 0.18 0.15 3.41 0.14 0.002 NGC6530 0.9974
18045153-2424173 4202.61 96.01 3.15 0.35 0 0.11 3.68 0.17 0.002 NGC6530 0.9976
18045277-2424285 3818.98 65.1 3.51 0.18 0.1 0.19 3.62 0.26 0.002 NGC6530 0.9967
18045350-2425578 4431.93 122.86 2.91 0.48 -0.1 0.12 2.89 0.2 0.002 NGC6530 0.9967
18053153-2427171 6232 96 3.62 0.57 0.22 0.18 3.21 0.15 0.002 NGC6530 0.9795
18042033-2424066 4077.81 72.57 4.67 0.1 0.14 0.08 3.41 0.08 0.002 NGC6530 0.9827
18050721-2413598 4461 93 4.64 0.1 0.02 0.07 3.51 0.14 0.002 NGC6530 0.998
18044426-2423572 4444.66 94.44 4.63 0.1 0 0.07 3.25 0.13 0.002 NGC6530 0.9985
18040256-2420109 4337.44 130.03 4.07 0.36 -0.05 0.14 3.3 0.23 0.002 NGC6530 0.9598
18040693-2420251 3931.65 78.28 4.08 0.23 -0.28 0.23 2.78 0.1 0.002 NGC6530 0.9894
18042671-2422418 3921.18 77.03 3.54 0.21 -1.16 0.46 3.36 0.27 0.002 NGC6530 0.9986
18043021-2417475 4018.65 87.04 2.67 0.21 0.33 0.11 3.71 0.11 0.002 NGC6530 0.9937
18043943-2419382 3860.04 68.66 3.74 0.19 -0.2 0.21 3.43 0.11 0.002 NGC6530 0.9987
18040412-2419413 3900.96 73.27 3.32 0.2 0.19 0.14 3.68 0.18 0.002 NGC6530 0.9987
18041139-2423377 3825.75 64.88 3.3 0.17 -0.08 0.2 3.06 0.0 0.002 NGC6530 0.9982
18041409-2426527 4088.51 82.28 3.7 0.3 0.12 0.09 3.77 0.16 0.002 NGC6530 0.9983
18041487-2426378 3934.7 77.52 3 0.2 -0.69 0.29 3.12 0.16 0.002 NGC6530 0.9962
18042816-2426318 3980.06 86.93 4.57 0.23 0.07 0.15 3.43 0.14 0.002 NGC6530 0.9856
18043138-2424046 3867.96 69.3 3.62 0.18 0.15 0.15 3.51 0.2 0.002 NGC6530 0.9955
18044088-2420001 3991 95.84 5.45 0.26 -0.07 0.18 3.26 0.14 0.002 NGC6530 0.9977
18041896-2421317 4064.7 87.1 4.65 0.1 0.13 0.08 3.49 0.09 0.002 NGC6530 0.9882
18042036-2422005 4547.78 83.14 4.61 0.1 -0.03 0.06 3.22 0.13 0.002 NGC6530 0.9816
18043224-2424100 4967 79 3.79 0.19 -0.02 0.05 3.35 0.12 0.002 NGC6530 0.9628
18035164-2428266 5035 81 3.21 0.18 -0.2 0.08 3.14 0.18 0.002 NGC6530 0.9973
18024480-2414318 6867 94 4.23 0.12 -0.03 0.08 2.97 0.13 0.002 NGC6530 0.9976
18033730-2422470 4428.98 107.64 2.32 0.31 -0.4 0.13 2.92 0.2 0.002 NGC6530 0.9983
18034023-2422036 4163.31 110.71 2.27 0.36 -0.65 0.15 3.69 0.98 0.002 NGC6530 0.9977
18034165-2421111 4016.41 79.63 2.92 0.19 -1.75 0.6 2.33 0.16 0.002 NGC6530 0.9982
18034423-2426059 3843.39 69.43 4.57 0.15 0.05 0.17 3.63 0.21 0.002 NGC6530 0.9782
18033992-2423026 4456.75 170.08 1.52 1.02 -1.68 0.44 1.87 0.32 0.002 NGC6530 0.9985
18040222-2417534 3829.87 69 4.04 0.22 -0.03 0.23 3.31 0.21 0.002 NGC6530 0.9981
18040717-2421406 3879.53 75.86 3.28 0.22 0.04 0.2 3.22 0.18 0.002 NGC6530 0.9943
18041230-2420032 4031.19 88.53 3.81 0.24 -0.07 0.15 3.27 0.13 0.002 NGC6530 0.9915
18264783+0633089 4463 76 4.65 0.18 0.02 0.1 -0.07 0.25 0.692 NGC6633 0.9992
18283294+0649160 6630 66 4.16 0.17 -0.01 0.05 1.6 0.0 0.692 NGC6633 0.9991
18262577+0630370 4012 77 4.76 0.18 -0.01 0.09 0.41 0.17 0.692 NGC6633 0.9985
18271164+0631060 4561 62 4.64 0.18 0.04 0.06 -0.13 0.22 0.692 NGC6633 0.9978
18281516+0638470 6570 66 4.04 0.18 -0.07 0.05 2.91 0.05 0.692 NGC6633 0.9799
18260963+0620448 4049 76 4.74 0.18 -0.04 0.1 0.66 0.14 0.692 NGC6633 0.9993
18264760+0626343 4043 77 4.81 0.19 -0.06 0.09 0.25 0.18 0.692 NGC6633 0.9993
18273422+0634253 4488 64 2.34 0.17 0.27 0.05 -1 0.0 0.692 NGC6633 0.9585
18263401+0628302 3433 107 4.86 0.24 -0.33 0.09 -1 0.0 0.692 NGC6633 0.9581
18265547+0630427 4946 65 4.64 0.17 -0.01 0.05 0.67 0.0 0.692 NGC6633 0.9994
18274167+0626184 3514 109 4.87 0.24 -0.3 0.09 0.11 0.18 0.692 NGC6633 0.9988
18271112+0637427 6367 65 4.09 0.18 -0.09 0.06 2.83 0.05 0.692 NGC6633 0.9991
18272640+0634181 6256 67 4.13 0.17 -0.18 0.05 2.61 0.05 0.692 NGC6633 0.9804
18271548+0640513 4366 75 4.67 0.18 0.06 0.09 0 0.0 0.692 NGC6633 0.9995
18270527+0627554 4647 65 4.62 0.17 -0.03 0.05 0.19 0.17 0.692 NGC6633 0.9986
18283246+0644404 6063 33 4.41 0.05 0.01 0.05 2.77 0.03 0.692 NGC6633 0.9994
18333543-1025562 6865 96 4.22 0.16 0 0.14 3.33 0.17 0.071 NGC6649 0.9967
18331701-1023594 6759 98 4.11 0.57 -0.13 0.25 3.48 0.12 0.071 NGC6649 0.9967
18332010-1029295 6594 97 3.98 0.65 0.34 0.24 3.81 0.15 0.071 NGC6649 0.976
18503432-0619130 5821 65 4.26 0.18 0.34 0.05 2.77 0.1 0.309 NGC6705 0.9998
18504122-0609271 6272 64 4.46 0.18 0.18 0.05 2.87 0.1 0.309 NGC6705 0.9999
18505019-0621276 4546 84 3.91 0.21 -0.16 0.08 1.05 0.25 0.309 NGC6705 0.9998
18505027-0615531 4812 95 3.98 0.26 -0.21 0.15 1.39 0.23 0.309 NGC6705 0.9997
18505445-0616368 5395 63 4.38 0.17 0 0.05 2.17 0.12 0.309 NGC6705 0.9999
18505881-0620296 6421 66 4.53 0.18 0.2 0.05 2.34 0.0 0.309 NGC6705 0.9811
18510005-0610534 6314 67 4.53 0.17 -0.03 0.05 1.88 0.0 0.309 NGC6705 0.9999
18510153-0617283 6134 62 4.56 0.17 0.2 0.05 3.07 0.09 0.309 NGC6705 0.9999
18510164-0614156 5615 75 4.65 0.18 0.04 0.1 2.76 0.12 0.309 NGC6705 0.9999
18510706-0609582 6435 66 4.27 0.18 0.11 0.05 3.01 0.06 0.309 NGC6705 0.9939
18510747-0615353 5779 70 4.54 0.21 0.14 0.05 3.01 0.1 0.309 NGC6705 0.9946
18510883-0608436 6969 67 4.16 0.18 0.02 0.06 3.23 0.05 0.309 NGC6705 0.9999
18511084-0613266 6392 75 4.4 0.18 0.12 0.09 2.6 0.17 0.309 NGC6705 0.9998
18511152-0614157 6011 81 3.7 0.22 0.21 0.08 3.18 0.16 0.309 NGC6705 0.9998
18511272-0615413 6034 83 4.98 0.21 0.44 0.05 2.65 0.18 0.309 NGC6705 0.9993
18511607-0620524 6199 66 4.69 0.17 0.18 0.05 3.14 0.09 0.309 NGC6705 0.9998
18513015-0617465 5507 82 4.62 0.23 -0.09 0.08 2.48 0.19 0.309 NGC6705 0.9996
18502541-0617094 6349 65 4.29 0.17 0.06 0.05 2.83 0.12 0.309 NGC6705 0.9999
18502655-0615001 6518 66 4.17 0.17 -0.03 0.06 3.01 0.07 0.309 NGC6705 0.9999
18502781-0611432 5700 65 4.26 0.17 -0.25 0.05 2.54 0.09 0.309 NGC6705 0.9999
18503218-0616449 6730 68 4.35 0.17 0.05 0.05 2.91 0.16 0.309 NGC6705 0.9994
18503507-0616527 6315 66 4.21 0.17 0.1 0.05 3.23 0.07 0.309 NGC6705 0.9997
18503539-0619590 6509 64 4.06 0.18 0.15 0.06 3.27 0.06 0.309 NGC6705 0.998
18505352-0616599 5713 64 4.36 0.17 0.06 0.06 3.13 0.1 0.309 NGC6705 0.9998
18510162-0619168 5879 64 4.57 0.17 0.16 0.05 2.95 0.1 0.309 NGC6705 0.9999
18510208-0615133 5830 71 4.36 0.21 0.13 0.05 2.96 0.11 0.309 NGC6705 0.9995
18510687-0613424 5905 81 4.73 0.22 0.47 0.03 3.06 0.14 0.309 NGC6705 0.9995
18510799-0612152 5637 64 4.05 0.17 0.06 0.05 2.71 0.11 0.309 NGC6705 0.9976
18511102-0617320 5594 76 4.31 0.18 0.18 0.09 2.81 0.12 0.309 NGC6705 0.9906
18511148-0614238 5885 64 4.7 0.18 0.24 0.05 3.12 0.11 0.309 NGC6705 0.9986
18511356-0615363 6248 66 4.41 0.17 0.22 0.06 2.85 0.11 0.309 NGC6705 0.9999
18511404-0610577 6125 64 4.49 0.18 -0.01 0.05 3.05 0.07 0.309 NGC6705 0.9999
18511478-0616356 5585 65 4.53 0.17 0.19 0.05 2.81 0.13 0.309 NGC6705 0.9998
18511828-0615038 6927 68 3.96 0.17 -0.01 0.05 3.03 0.08 0.309 NGC6705 0.9998
18514208-0618480 6632 66 4.35 0.17 0.12 0.05 2.69 0.16 0.309 NGC6705 0.9997
18503594-0616379 6899 67 4.12 0.17 0.13 0.05 3.03 0.09 0.309 NGC6705 0.9992
18505503-0617434 6069 65 4.49 0.17 0.17 0.05 3.07 0.09 0.309 NGC6705 0.9999
18511284-0615337 6018 66 4.65 0.18 0.12 0.05 2.8 0.08 0.309 NGC6705 0.9999
18511718-0616252 5605 65 4.2 0.17 0.11 0.05 3.06 0.14 0.309 NGC6705 0.9991
